Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2022-03-14,138.3032684326172,138.6921222129353,135.84050584809134,137.68757119373234,12598659
2022-03-15,135.87290954589844,139.37261977807484,134.99798528423088,138.1736353313571,14528285
2022-03-16,135.67848205566406,137.2663203347602,135.41924180749461,136.90986334533886,11933774
2022-03-17,137.1042938232422,137.88200136520055,134.64153129786328,137.39593085509995,28464621
2022-03-21,132.79449462890625,139.9883370923853,132.5352543305222,139.9883370923853,17797415
2022-03-22,135.2572479248047,135.7757285347019,132.24362058449466,132.85930477142668,13285297
2022-03-23,136.16458129882812,136.48862838101738,134.99801971425248,135.77572743730292,9408783
2022-03-24,136.58583068847656,136.87746775738037,134.80357192504448,136.09976011663144,11188958
2022-03-25,135.87290954589844,136.61822028195087,133.96102433728518,136.585810307794,9842670
2022-03-28,137.5903778076172,137.88201486803507,134.4795209641235,135.87292586663645,12823578
2022-03-29,136.9423065185547,138.98379265220876,135.90534527449617,138.5949387784418,10470515
2022-03-30,140.7012481689453,141.73819625174045,137.26635682059208,138.1088713692024,54218485
2022-03-31,140.50682067871094,140.79845777965485,139.17822236216745,139.69670296996725,10326026
2022-04-01,145.8535919189453,146.30725254410325,140.05314143723135,140.05314143723135,39663961
2022-04-04,147.37660217285156,147.83026277232906,145.20548955733773,146.46926778838818,9907530
2022-04-05,151.038330078125,152.0428679872283,147.05254886327566,149.02922788890282,17167487
2022-04-06,153.3714599609375,154.53802134260974,149.80694267684243,149.93655621297026,17153675
2022-04-07,149.9365692138672,155.47777911018326,149.0616448053721,152.91779947287296,11913911
2022-04-08,150.7466583251953,151.71879930302612,149.45047035475426,151.00589855638472,6746769
2022-04-11,149.64492797851562,152.65856813332002,148.02469275394424,150.6818758851397,12413822
2022-04-12,151.07073974609375,151.42719679340223,148.15431614796256,148.57557997146105,14769907
2022-04-13,148.7376251220703,152.52897371356994,147.47384665340738,152.26973338562323,11015439
2022-04-18,149.77455139160156,150.22822519568098,147.47382513240973,148.73760341664828,19069923
2022-04-19,147.66824340820312,151.23276108759384,146.79331897854533,150.81149727020048,15036942
2022-04-20,147.11737060546875,148.4135588927416,144.8166311213558,147.92748828501428,9814641
2022-04-21,147.27938842773438,148.18672283072752,145.9832001907466,146.53407755436467,11134333
2022-04-22,146.11282348632812,149.19127075451408,145.6267528650356,145.85359637004635,12032249
2022-04-25,144.42774963378906,147.05253568742677,143.552825344412,145.1406504182627,11042683
2022-04-26,150.0985870361328,150.4874408489619,145.39990493280402,147.11735689043266,15389155
2022-04-27,148.6079864501953,150.90871265652981,147.40900178414526,149.93657148006236,12680209
2022-04-28,152.6909637451172,153.11222753734796,149.09404948570327,151.26516203272917,18378146
2022-04-29,147.60342407226562,153.1770304231838,147.14976349860657,152.36691283771583,9026331
2022-05-02,150.06617736816406,151.16793194090474,146.4044434750451,146.4044434750451,12634353
2022-05-04,153.98715209960938,155.18612352085339,150.94111517152913,151.00592194298676,23124643
2022-05-05,151.49200439453125,155.96385657311868,150.908717034627,154.50564476611248,16481935
2022-05-06,154.50564575195312,154.99171635738995,150.0013835635998,150.0013835635998,17715186
2022-05-09,158.8802490234375,159.72276332425784,152.72335593483788,154.89446822897963,54118806
2022-05-10,157.90814208984375,160.95417931688317,157.16283118116112,159.301547147727,30997494
2022-05-11,155.02410888671875,160.72734244108992,154.70006182534559,158.1349659501046,15412618
2022-05-12,152.88540649414062,156.77397123827896,150.45505352905417,154.89449564151036,26538994
2022-05-13,153.1446533203125,155.44537964753292,151.07074412357508,155.44537964753292,15074553
2022-05-16,152.43173217773438,154.18159421795212,151.005930383935,152.62616568848367,7960529
2022-05-17,154.66766357421875,155.08892738713914,150.84390564891677,152.23731063680333,15470937
2022-05-18,147.70066833496094,154.40844055513335,147.18218770947,153.92236991330188,19181550
2022-05-19,147.9599151611328,148.834839717843,143.65008597673295,144.52501053344315,15085602
2022-05-20,148.44595336914062,151.07072646540854,146.95533172026668,149.54770802404207,15148281
2022-05-23,145.56192016601562,150.35781874587337,145.30267991038684,150.35781874587337,11572501
2022-05-24,147.11737060546875,148.8348227232071,145.56194202363952,145.8211823181959,16336858
2022-05-25,145.72396850585938,148.67280219322956,144.23335985666327,148.02470803648967,11062614
2022-05-26,147.2469940185547,148.47837561100985,145.10829111266833,147.11738045535307,14150454
2022-05-27,145.6267547607422,148.18673464417986,144.78424025084,148.15432466146802,8430491
2022-05-30,147.927490234375,148.99684822256873,145.36752360748,145.49713716371167,9305758
2022-05-31,150.9410858154297,152.39929722440883,147.89503629425894,147.9274462664384,26351545
2022-06-01,148.5431671142578,151.0059300458616,147.86267619917606,150.45505268065008,10282009
2022-06-02,146.1776123046875,148.67277165857428,145.52951828105424,148.67277165857428,10071898
2022-06-03,146.46925354003906,147.83024839158404,145.8211594978265,146.46925354003906,16082518
2022-06-06,145.69155883789062,147.40899765311295,144.88144121353739,146.46926648306646,12693293
2022-06-07,145.82119750976562,146.63131527370876,144.97866976106056,145.1406933138492,9103195
2022-06-08,145.52955627441406,146.79333467623056,144.5574149851675,144.5574149851675,11240130
2022-06-09,145.72396850585938,146.2748459019864,143.22880863951272,145.6267517452465,9468041
2022-06-10,145.4647216796875,147.40900406267556,143.90930632170407,143.90930632170407,9019239
2022-06-13,144.10372924804688,146.14522842411077,143.5528518666986,143.77968217837036,10186775
2022-06-14,145.1407012939453,147.31182756909374,143.87692278691338,144.10375313618692,17023962
2022-06-15,144.03892517089844,146.66371175867758,143.81209485497524,145.33511347389864,5898563
2022-06-16,140.21514892578125,145.36750467588828,139.76148835254256,144.75180740019854,11883333
2022-06-17,136.97467041015625,140.57159754578447,136.26176961526338,138.82173575594908,19675226
2022-06-20,134.96560668945312,136.68305882344356,133.73422516778965,135.51648407965516,7402273
2022-06-21,136.32659912109375,138.14126797943305,134.3499199139656,135.4840846540504,9459619
2022-06-22,136.52102661132812,136.90988043937972,134.93318813398056,136.61824336471813,10257637
2022-06-23,135.1600341796875,137.20152011199156,133.60460565252026,136.1645721557163,13114525
2022-06-24,135.41925048828125,137.39594267359018,134.64154287942623,137.39594267359018,9499105
2022-06-27,137.1042938232422,138.27085513617973,135.87291256055275,138.27085513617973,17545390
2022-06-28,136.294189453125,137.10430704810196,135.03039809365632,135.80811889613884,6770087
2022-06-29,136.8126678466797,139.340237584145,135.0952157695873,135.51647959008298,41502918
2022-06-30,137.33114624023438,139.1782118394183,136.35900506324194,137.07190595593468,22260722
2022-07-01,133.83145141601562,137.97925690572058,132.9889236873766,136.78028528074208,11133663
2022-07-04,136.5534210205078,137.49316537285367,132.89169991934094,132.89169991934094,20178279
2022-07-05,138.7893524169922,139.9559138711032,136.71544341161476,136.74785339041287,20083997
2022-07-06,136.3914031982422,138.78935936969495,134.93319141842275,138.69214261393859,19203527
2022-07-07,137.75241088867188,139.53466972395668,137.46076062250188,138.20607149981365,14069302
2022-07-08,141.80299377441406,142.19184759572252,137.81721243860906,138.69213683293012,17142257
2022-07-11,140.66883850097656,143.39082861747758,140.11794793302195,142.58071094167263,10826079
2022-07-12,138.36810302734375,140.60402260299637,138.1412727086631,139.40505104524772,8503695
2022-07-13,138.98377990722656,140.44199168926534,138.33568578187598,139.01618988769758,10210005
2022-07-14,139.24301147460938,142.09462808467595,137.94682330507985,142.09462808467595,10898403
2022-07-15,135.6461181640625,140.63643811323126,135.32207107163572,140.63643811323126,22067479
2022-07-18,136.26181030273438,137.65521551843761,135.38688573931955,136.32661708789274,15155654
2022-07-19,136.09976196289062,137.07190311976842,135.8405216839549,136.03495518953378,14922395
2022-07-20,135.6136932373047,137.59038555749987,135.12762265222474,136.94229144405995,14181034
2022-07-21,137.5903778076172,138.17365192845295,135.7432991399447,136.06734617841246,12461554
